date	mean10	rms10	mean100	rms100	mean1000	rms1000
2016-08-26.15:47:29	-0.00011437	0.000575907	-0.000114861	0.000578566	-0.000114861	0.000895064
2016-08-26.08:45:45	-0.000164134	0.000583722	-0.000162847	0.000581224	-0.000162847	0.000889758
2016-08-25.16:29:06	-0.000158476	0.000581933	-0.000158034	0.00057978	-0.000158034	0.000887513
2016-08-25.09:07:31	-0.000116901	0.000580085	-0.000116905	0.000581234	-0.000116905	0.000887
2016-08-29.09:45:10	-1.71085e-05	0.000583306	-1.59838e-05	0.000583024	-1.59838e-05	0.000908491
2016-08-29.18:19:00	5.30953e-05	0.00057849	5.17149e-05	0.000577478	5.17149e-05	0.000907992
2016-08-30.06:48:48	6.51794e-05	0.000584405	6.54123e-05	0.000582068	6.54123e-05	0.00090463
2016-08-30.10:15:09	5.66381e-05	0.000573867	5.5348e-05	0.000579241	5.5348e-05	0.000911162
2016-08-30.13:50:58	-9.22263e-05	0.000573008	-9.18904e-05	0.000576263	-9.18904e-05	0.000902301
2016-09-01.21:24:20	5.21923e-05	0.000573933	5.11516e-05	0.000577346	5.11516e-05	0.000914477
2016-09-02.07:06:36	0.000119284	0.000579652	0.000118081	0.000582512	0.000118081	0.000920363
2016-09-03.00:19:19	-1.84606e-05	0.000579728	-1.67099e-05	0.000578898	-1.67099e-05	0.000911502
2016-09-03.12:03:35	0.000106438	0.000588551	0.00010511	0.000588137	0.00010511	0.000924936
2016-09-04.00:47:19	0.000123333	0.000581682	0.000122618	0.000584739	0.000122618	0.000927034
2016-09-04.13:33:21	1.20124e-05	0.00057626	1.0235e-05	0.000577248	1.0235e-05	0.000914124
2016-09-05.01:08:02	0.000146954	0.000580755	0.000146662	0.000581015	0.000146662	0.000926047
2016-09-06.09:26:48	-5.0654e-05	0.0005737	-5.08151e-05	0.00057819	-5.08151e-05	0.000913936
2016-09-06.20:40:21	-0.000191642	0.00058233	-0.000191182	0.000582366	-0.000191182	0.000907714
2016-09-07.06:59:18	-0.00021525	0.000573834	-0.000214915	0.000576495	-0.000214915	0.000902147
2016-09-09.09:38:06	-0.000272589	0.000579534	-0.000273714	0.000582312	-0.000273714	0.000901894
2016-09-10.15:08:31	-0.000195177	0.000584246	-0.000194803	0.00058221	-0.000194803	0.000908633
2016-09-11.12:00:32	-0.000195101	0.000577005	-0.000195102	0.000578199	-0.000195102	0.000907639
2016-09-11.20:30:05	-0.000131733	0.000579117	-0.000132017	0.00058228	-0.000132017	0.000913281
2016-09-01.09:08:27	1.2765e-05	0.000586374	1.31126e-05	0.000585367	1.31126e-05	0.000917121
2016-09-13.15:40:34	0.000144602	0.000582064	0.000143451	0.000586079	0.000143451	0.000937392
