date	mean	meanerr	sig	sigerr	rchsq
2016-08-26.15:47:29	-0.0673864	0.000756873	0.0251033	0.000742038	6.02154
2016-08-26.08:45:45	-0.0671927	0.000731047	0.0241471	0.000712639	2.70075
2016-08-25.16:29:06	-0.0678007	0.000833572	0.0243796	0.000801703	4.59933
2016-08-25.09:07:31	-0.0685869	0.00115064	0.0293716	0.00244654	1.53991
2016-08-29.09:45:10	-0.0656842	0.000692434	0.0252483	0.00064859	11.3515
2016-08-29.18:19:00	-0.0634761	0.000562418	0.0246009	0.000576264	8.24088
2016-08-30.06:48:48	-0.0646832	0.000642195	0.0258587	0.000657513	10.9161
2016-08-30.10:15:09	-0.0626843	0.000530374	-0.0235455	0.000592207	2.73844
2016-08-30.13:50:58	-0.064868	0.000568263	0.022936	0.000764577	2.77242
2016-09-01.21:24:20	-0.0643855	0.000556648	-0.0235722	0.000592814	2.29284
2016-09-02.07:06:36	-0.0631809	0.000542236	-0.0234214	0.000600407	2.54115
2016-09-03.00:19:19	-0.0629981	0.000523612	0.0231371	0.000564574	5.98612
2016-09-03.12:03:35	-0.0628973	0.000494969	-0.0227584	0.000552934	2.62276
2016-09-04.00:47:19	-0.0630592	0.000481894	-0.0222214	0.000493048	3.22245
2016-09-04.13:33:21	-0.0639509	0.000521988	-0.0230249	0.000557218	4.89292
2016-09-05.01:08:02	-0.062887	0.000537837	0.0245169	0.000549319	11.1322
2016-09-06.09:26:48	-0.06246	0.000437196	0.0221623	0.000472926	5.71975
2016-09-06.20:40:21	-0.0621387	0.00052387	0.0244968	0.000831111	2.94587
2016-09-07.06:59:18	-0.062072	0.000488572	-0.0232224	0.000547585	2.76055
2016-09-09.09:38:06	-0.0616764	0.000495797	0.0242102	0.000538157	12.742
2016-09-10.15:08:31	-0.0620782	0.000412762	0.0218221	0.000442777	3.26812
2016-09-11.12:00:32	-0.0602149	0.00040424	0.0222279	0.000458725	5.55485
2016-09-11.20:30:05	-0.0610161	0.000425214	-0.0223246	0.000471267	3.95131
2016-09-01.09:08:27	-0.0653062	0.000476418	0.0251314	0.000452189	22.2273
2016-09-13.15:40:34	-0.0610093	0.000477961	0.0242742	0.000502412	8.26477
