date	mean	meanerr	sig	sigerr	rchsq
2016-08-26.15:47:29	-0.0656268	0.00107109	-0.0290446	0.00287258	2.88062
2016-08-26.08:45:45	-0.0681404	0.000545432	0.0217838	0.000833186	1.03607
2016-08-25.16:29:06	-0.0678574	0.000538953	0.0216227	0.000832354	1.86362
2016-08-25.09:07:31	-0.0694933	0.00112158	0.0294875	0.00308531	2.1507
2016-08-29.09:45:10	-0.0659718	0.000216423	-0.0157386	0.000151017	236.266
2016-08-29.18:19:00	-0.064333	0.000436324	0.0207174	0.000735335	3.48329
2016-08-30.06:48:48	-0.0661654	0.000201422	0.013991	0.000111892	276.814
2016-08-30.10:15:09	-0.0615099	0.00086087	0.0260935	0.00140861	3.88038
2016-08-30.13:50:58	-0.0652217	0.000306764	0.0209991	0.000505774	5.02792
2016-09-01.21:24:20	-0.0654835	0.000327665	0.0171482	0.000255451	17.7608
2016-09-03.00:19:19	-0.0632597	0.000454433	0.0217273	0.000793157	1.30623
2016-09-03.12:03:35	-0.0642836	0.000294713	0.0160901	0.000214992	132.589
2016-09-04.00:47:19	-0.0611756	0.0012992	0.0263433	0.0021152	1.40397
2016-09-04.13:33:21	-0.0639405	0.000471017	0.0223195	0.000853459	1.44663
2016-09-05.01:08:02	-0.0643251	0.000299126	-0.0164879	0.000220966	145.601
2016-09-06.09:26:48	-0.0626941	0.000434936	0.0219376	0.000776604	1.02921
2016-09-06.20:40:21	-0.0622814	0.000774217	0.0220388	0.0011974	1.40689
2016-09-07.06:59:18	-0.0643892	0.000285072	0.0153289	0.000186099	140.353
2016-09-09.09:38:06	-0.0619744	0.000410919	0.0207975	0.000653286	4.55369
2016-09-10.15:08:31	-0.0623478	0.000398716	0.0208192	0.000651907	1.03447
2016-09-11.20:30:05	-0.060945	0.000479809	0.0225855	0.000826672	1.84728
2016-09-01.09:08:27	-0.0665961	0.000207447	0.0142243	0.000116732	362.063
2016-09-13.15:40:34	-0.0608174	0.000460057	0.0217133	0.000744433	0.97074
